"";"BISE_01";"BISE_02";"BISE_03";"BISE_04";"BISE_05";"BISE_06";"BISE_07";"BISE_08";"BISE_09";"BISE_10";"BISE_11";"BISE_12";"BISE_13";"BISE_14";"BISE_15";"BISE_16";"BISE_17";"BISE_18";"BISE_19";"BISE_20";"BISE_21";"BISE_22";"BISE_23";"BISE_24";"BISE_25";"BISE_26";"BISE_27";"BISE_28";"BISE_29";"BISE_30";"BISE_31";"BISE_32";"BISE_33";"BISE_34";"BISE_35";"BISE_36";"BISE_37";"BISE_38";"BISE_39";"BISE_40";"BISE_41";"BISE_42";"BISE_43";"BISE_44";"BISE_45";"BISE_46";"BISE_47";"BISE_48";"BISE_49";"BISE_50";"BISE_51";"BISE_52";"BISE_53";"BISE_54";"BISE_55";"BISE_56";"BISE_57";"BISE_58";"BISE_59";"BISE_60";"BISE_61";"BISE_62";"BISE_63";"BISE_64"
"BISE_01";0;0,0769230769230769;0;0,04;0,04;0,04;0,04;0,0769230769230769;0,111111111111111;0,04;0,037037037037037;0,04;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,0714285714285714;0,0769230769230769;0;0;0,037037037037037;0,04;0,0769230769230769;0,0769230769230769;0;0,04;0,04;0,111111111111111;0,111111111111111;0;0,0714285714285714;0,0769230769230769;0,111111111111111;0,111111111111111;0,0714285714285714;0,0769230769230769;0,0769230769230769;0,04;0,04;0,0769230769230769;0,04;0,111111111111111;0,0714285714285714;0;0,111111111111111;0,111111111111111;0,0714285714285714;0,0769230769230769;0,0344827586206897;0,04;0,0714285714285714;0,0344827586206897;0;0,037037037037037;0,0769230769230769;0,037037037037037;0,0714285714285714;0;0,0714285714285714;0,037037037037037;0,037037037037037;0;0,0344827586206897;0,0769230769230769;0,0769230769230769
"BISE_02";0,0769230769230769;0;0,04;0;0;0,04;0;0,037037037037037;0,0769230769230769;0,111111111111111;0,0769230769230769;0;0;0,111111111111111;0,0769230769230769;0;0,037037037037037;0,04;0,0714285714285714;0,0714285714285714;0,04;0,0769230769230769;0,111111111111111;0;0,04;0,0769230769230769;0,111111111111111;0,0714285714285714;0,111111111111111;0,0714285714285714;0;0,0769230769230769;0,0769230769230769;0,0714285714285714;0,037037037037037;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,0769230769230769;0;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,111111111111111;0,0769230769230769;0,142857142857143;0,04;0,0344827586206897;0,037037037037037;0;0,0714285714285714;0;0,0714285714285714;0,111111111111111;0,0714285714285714;0,0714285714285714;0,0344827586206897;0,0714285714285714;0,0714285714285714;0;0,0344827586206897;0;0,037037037037037;0,111111111111111
"BISE_03";0;0,0769230769230769;0;0,0769230769230769;0;0,04;0,037037037037037;0,04;0;0,0714285714285714;0,111111111111111;0,04;0,04;0,04;0,0714285714285714;0,037037037037037;0,0714285714285714;0,04;0,0714285714285714;0,0714285714285714;0,04;0,04;0,111111111111111;0,04;0;0,111111111111111;0,037037037037037;0,037037037037037;0,04;0,037037037037037;0,0769230769230769;0,111111111111111;0;0,037037037037037;0,111111111111111;0,037037037037037;0,04;0,0769230769230769;0,0769230769230769;0;0,111111111111111;0,037037037037037;0,111111111111111;0,04;0;0,111111111111111;0,04;0,111111111111111;0,0714285714285714;0,037037037037037;0,0344827586206897;0,0714285714285714;0;0,0769230769230769;0;0,037037037037037;0;0,037037037037037;0,111111111111111;0,0344827586206897;0,0344827586206897;0;0,0714285714285714;0,0769230769230769
"BISE_04";0,04;0,04;0,04;0;0,0769230769230769;0;0,04;0,111111111111111;0,0714285714285714;0,0769230769230769;0,037037037037037;0,0769230769230769;0,0769230769230769;0,111111111111111;0,0714285714285714;0;0,0714285714285714;0;0,0769230769230769;0,111111111111111;0;0,04;0,0769230769230769;0;0,0769230769230769;0,111111111111111;0,111111111111111;0,0714285714285714;0,037037037037037;0,0714285714285714;0,0769230769230769;0;0,0714285714285714;0,0769230769230769;0,0714285714285714;0,04;0;0,111111111111111;0,0769230769230769;0,04;0;0,0769230769230769;0,04;0,04;0,0714285714285714;0,037037037037037;0,111111111111111;0,037037037037037;0;0;0,0769230769230769;0;0,0344827586206897;0,037037037037037;0,0344827586206897;0,0714285714285714;0,111111111111111;0,0714285714285714;0,0714285714285714;0,0344827586206897;0,0714285714285714;0,0344827586206897;0,0714285714285714;0,037037037037037
"BISE_05";0,04;0,04;0,04;0;0;0,04;0,037037037037037;0,111111111111111;0,0714285714285714;0,037037037037037;0,0714285714285714;0,111111111111111;0,0769230769230769;0;0;0,037037037037037;0,111111111111111;0,037037037037037;0;0,0714285714285714;0;0,111111111111111;0,111111111111111;0;0,111111111111111;0,0769230769230769;0,0769230769230769;0,04;0,037037037037037;0,037037037037037;0,0769230769230769;0,04;0,0714285714285714;0,04;0,0714285714285714;0,037037037037037;0,037037037037037;0,111111111111111;0,04;0,0769230769230769;0,04;0,111111111111111;0,0769230769230769;0,04;0,0714285714285714;0,103448275862069;0,111111111111111;0,037037037037037;0,037037037037037;0,037037037037037;0,037037037037037;0,037037037037037;0,0344827586206897;0;0,0344827586206897;0,0714285714285714;0,0714285714285714;0,037037037037037;0,04;0,0714285714285714;0,0344827586206897;0;0,111111111111111;0
"BISE_06";0;0,0769230769230769;0;0,04;0,04;0;0,0769230769230769;0,111111111111111;0,0769230769230769;0,111111111111111;0,0714285714285714;0,0714285714285714;0,0769230769230769;0;0,0769230769230769;0,037037037037037;0,04;0,04;0,0769230769230769;0,037037037037037;0;0,111111111111111;0,0769230769230769;0,04;0,04;0,0769230769230769;0;0;0,037037037037037;0,0714285714285714;0,0769230769230769;0;0,0769230769230769;0,04;0,0769230769230769;0,037037037037037;0,0714285714285714;0,04;0,04;0;0;0,037037037037037;0,0769230769230769;0;0,0769230769230769;0,103448275862069;0,04;0,0769230769230769;0,037037037037037;0,037037037037037;0,0769230769230769;0,111111111111111;0,037037037037037;0,0344827586206897;0,037037037037037;0,0769230769230769;0,111111111111111;0,0714285714285714;0,0769230769230769;0,0714285714285714;0;0,0344827586206897;0,0714285714285714;0,0344827586206897
"BISE_07";0,0769230769230769;0;0,0769230769230769;0,04;0,04;0,0769230769230769;0;0,037037037037037;0;0,0714285714285714;0,111111111111111;0,0714285714285714;0,04;0,111111111111111;0,0769230769230769;0,0714285714285714;0,04;0,037037037037037;0,04;0,0714285714285714;0,04;0,04;0,111111111111111;0,0769230769230769;0,0769230769230769;0,04;0,0714285714285714;0,04;0,111111111111111;0,04;0,0769230769230769;0,04;0;0,04;0,037037037037037;0,037037037037037;0,0714285714285714;0,0769230769230769;0,111111111111111;0,0769230769230769;0,04;0,0714285714285714;0,111111111111111;0,0769230769230769;0;0,111111111111111;0,04;0,0714285714285714;0,0714285714285714;0,0714285714285714;0,037037037037037;0,0344827586206897;0,0714285714285714;0,0344827586206897;0,0714285714285714;0;0,0714285714285714;0,04;0,04;0,0344827586206897;0,0344827586206897;0;0,0344827586206897;0,0344827586206897
"BISE_08";0,04;0,04;0,04;0;0;0,04;0,04;0;0,0769230769230769;0,0714285714285714;0,0714285714285714;0,037037037037037;0,04;0,04;0,04;0,0714285714285714;0;0,0769230769230769;0,111111111111111;0,04;0;0,04;0;0;0,0769230769230769;0;0,0714285714285714;0,0769230769230769;0,037037037037037;0,0769230769230769;0,04;0,0769230769230769;0,0769230769230769;0;0,0769230769230769;0,037037037037037;0,037037037037037;0,04;0,111111111111111;0,04;0,0769230769230769;0,0714285714285714;0,111111111111111;0,111111111111111;0,0769230769230769;0,037037037037037;0,04;0,103448275862069;0,0714285714285714;0,0714285714285714;0,0714285714285714;0,0344827586206897;0,037037037037037;0,0714285714285714;0,037037037037037;0,0769230769230769;0,0344827586206897;0,0769230769230769;0;0,103448275862069;0,0769230769230769;0,111111111111111;0,0344827586206897;0,0714285714285714
"BISE_09";0;0,0769230769230769;0;0,04;0,04;0;0,0769230769230769;0,04;0;0,0769230769230769;0,037037037037037;0,0769230769230769;0,04;0,037037037037037;0,037037037037037;0,037037037037037;0,0769230769230769;0,0769230769230769;0,0714285714285714;0;0;0,04;0,04;0,0769230769230769;0,111111111111111;0;0,0769230769230769;0,111111111111111;0,0769230769230769;0,04;0,04;0,111111111111111;0,04;0,04;0,111111111111111;0,037037037037037;0;0,0769230769230769;0,04;0,04;0,111111111111111;0,111111111111111;0,04;0,04;0,04;0,111111111111111;0;0,111111111111111;0;0,037037037037037;0,0344827586206897;0,037037037037037;0;0,0714285714285714;0;0,04;0;0,04;0,037037037037037;0,0666666666666667;0,037037037037037;0,0714285714285714;0;0,0344827586206897
"BISE_10";0;0,0769230769230769;0;0,04;0,04;0;0,0769230769230769;0,04;0;0;0,0714285714285714;0,04;0,0769230769230769;0,037037037037037;0,0714285714285714;0,0714285714285714;0,04;0,037037037037037;0,0769230769230769;0,04;0,04;0;0;0,04;0,111111111111111;0,0769230769230769;0;0,0714285714285714;0,0769230769230769;0,0769230769230769;0,111111111111111;0,111111111111111;0,111111111111111;0,04;0,037037037037037;0;0;0,0769230769230769;0,04;0,0769230769230769;0,111111111111111;0,0714285714285714;0,0769230769230769;0,0769230769230769;0,111111111111111;0,0769230769230769;0,0769230769230769;0,0714285714285714;0,037037037037037;0,0714285714285714;0,0344827586206897;0,111111111111111;0,0714285714285714;0,037037037037037;0,0714285714285714;0,111111111111111;0;0,0769230769230769;0,0714285714285714;0,0666666666666667;0,0769230769230769;0,111111111111111;0,0344827586206897;0
"BISE_11";0,0769230769230769;0,0769230769230769;0,0769230769230769;0,04;0,04;0,0769230769230769;0,0769230769230769;0,04;0,0769230769230769;0,0769230769230769;0;0,04;0,04;0,037037037037037;0;0,037037037037037;0;0,04;0,037037037037037;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,04;0,04;0,04;0,04;0,0769230769230769;0,0714285714285714;0,0714285714285714;0,037037037037037;0,111111111111111;0,0769230769230769;0,0714285714285714;0;0,0714285714285714;0,0769230769230769;0,04;0,111111111111111;0,04;0;0,0769230769230769;0,037037037037037;0,04;0,0769230769230769;0,0714285714285714;0,142857142857143;0,111111111111111;0,0714285714285714;0;0,037037037037037;0;0,037037037037037;0,0344827586206897;0,037037037037037;0,0344827586206897;0,0714285714285714;0,0344827586206897;0,037037037037037;0,0714285714285714;0,0714285714285714;0,111111111111111;0,0714285714285714;0,0714285714285714;0,111111111111111
"BISE_12";0,04;0,04;0,04;0;0;0,04;0,04;0;0,04;0,04;0,04;0;0,04;0,111111111111111;0,037037037037037;0,0714285714285714;0;0,111111111111111;0,111111111111111;0,111111111111111;0;0,111111111111111;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,04;0,04;0,037037037037037;0,0714285714285714;0,0714285714285714;0,04;0;0,0769230769230769;0,037037037037037;0,0714285714285714;0,0714285714285714;0;0,111111111111111;0;0,0769230769230769;0,04;0,0714285714285714;0,0769230769230769;0,111111111111111;0,0769230769230769;0,0344827586206897;0,04;0,0344827586206897;0,037037037037037;0,0714285714285714;0,0769230769230769;0,0769230769230769;0,0344827586206897;0,0344827586206897;0,0344827586206897;0,0769230769230769;0,0714285714285714;0,0714285714285714;0,037037037037037;0,0344827586206897;0,0714285714285714;0,0344827586206897;0,0344827586206897;0,0714285714285714
"BISE_13";0,04;0,04;0,04;0;0;0,04;0,04;0;0,04;0,04;0,04;0;0;0,037037037037037;0,037037037037037;0,04;0,0769230769230769;0,111111111111111;0,0714285714285714;0,0714285714285714;0,0769230769230769;0,04;0,111111111111111;0;0,04;0,04;0,111111111111111;0,04;0;0,0714285714285714;0,04;0,0769230769230769;0,037037037037037;0,04;0,111111111111111;0,0714285714285714;0;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,04;0,04;0,0769230769230769;0,111111111111111;0,037037037037037;0,111111111111111;0,0769230769230769;0,0344827586206897;0,037037037037037;0,04;0,0769230769230769;0;0;0,0344827586206897;0;0,037037037037037;0,0714285714285714;0,0714285714285714;0,0769230769230769;0,0714285714285714;0,0344827586206897;0;0,0769230769230769;0,111111111111111
"BISE_14";0,04;0,04;0,04;0;0;0,04;0,04;0;0,04;0,04;0,04;0;0;0;0,0714285714285714;0,0769230769230769;0,04;0,111111111111111;0,0714285714285714;0,0714285714285714;0,04;0,0769230769230769;0,111111111111111;0,0769230769230769;0,0769230769230769;0;0,0714285714285714;0,0769230769230769;0,0769230769230769;0,111111111111111;0,04;0,04;0,111111111111111;0,037037037037037;0,0714285714285714;0,0769230769230769;0,04;0,111111111111111;0,111111111111111;0,0769230769230769;0;0;0,111111111111111;0,04;0,111111111111111;0,0714285714285714;0,0769230769230769;0,111111111111111;0,0714285714285714;0,0769230769230769;0,0769230769230769;0,103448275862069;0,0344827586206897;0,111111111111111;0,0344827586206897;0,111111111111111;0,0714285714285714;0,111111111111111;0,111111111111111;0,103448275862069;0,0344827586206897;0;0,111111111111111;0,0714285714285714
"BISE_15";0;0,0769230769230769;0;0,04;0,04;0;0,0769230769230769;0,04;0;0;0,0769230769230769;0,04;0,04;0,04;0;0,04;0,04;0,037037037037037;0,0769230769230769;0,037037037037037;0,04;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,04;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,04;0;0,04;0,0714285714285714;0,0769230769230769;0,037037037037037;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,04;0,0769230769230769;0,037037037037037;0,04;0,111111111111111;0,0769230769230769;0,0714285714285714;0,142857142857143;0,111111111111111;0,0714285714285714;0,0714285714285714;0,04;0,0769230769230769;0,037037037037037;0,0714285714285714;0,037037037037037;0,0714285714285714;0,0714285714285714;0,111111111111111;0,0769230769230769;0,04;0,0344827586206897;0,0714285714285714;0,0344827586206897;0,0769230769230769;0,0344827586206897
"BISE_16";0,04;0,04;0,04;0;0;0,04;0,04;0;0,04;0,04;0,04;0;0;0;0,04;0;0,04;0,111111111111111;0,037037037037037;0;0,0769230769230769;0,111111111111111;0,04;0,0769230769230769;0,111111111111111;0,04;0,037037037037037;0,0769230769230769;0,04;0,04;0,0769230769230769;0,04;0,0714285714285714;0,0769230769230769;0,0714285714285714;0;0;0,111111111111111;0,0769230769230769;0,0769230769230769;0,04;0,0769230769230769;0,0769230769230769;0,04;0,0714285714285714;0,103448275862069;0,111111111111111;0,111111111111111;0,037037037037037;0,0769230769230769;0,0769230769230769;0,0714285714285714;0,0344827586206897;0,037037037037037;0,0344827586206897;0,0714285714285714;0,0344827586206897;0,04;0,0769230769230769;0,0666666666666667;0,0344827586206897;0,037037037037037;0,037037037037037;0
"BISE_17";0,04;0,04;0,04;0;0;0,04;0,04;0;0,04;0,04;0,04;0;0;0;0,04;0;0;0,0769230769230769;0,0769230769230769;0,04;0;0,111111111111111;0,04;0,0769230769230769;0,111111111111111;0;0,111111111111111;0,04;0,037037037037037;0,04;0,111111111111111;0;0,0769230769230769;0,037037037037037;0,04;0,04;0,0769230769230769;0;0,0769230769230769;0,04;0,037037037037037;0,111111111111111;0,111111111111111;0,0769230769230769;0,0769230769230769;0,103448275862069;0,04;0,0714285714285714;0,0714285714285714;0,037037037037037;0,04;0;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,0666666666666667;0,111111111111111;0,0769230769230769;0,0666666666666667;0,0344827586206897;0;0;0
"BISE_18";0;0,0769230769230769;0;0,04;0,04;0;0,0769230769230769;0,04;0;0;0,0769230769230769;0,04;0,04;0,04;0;0,04;0,04;0;0,111111111111111;0,04;0,0769230769230769;0,04;0;0,0769230769230769;0,0769230769230769;0,037037037037037;0,0714285714285714;0,04;0,0714285714285714;0;0,04;0,04;0,037037037037037;0,04;0;0,037037037037037;0,04;0,04;0,111111111111111;0,04;0,0769230769230769;0,0714285714285714;0,0769230769230769;0,0769230769230769;0,037037037037037;0,111111111111111;0,0769230769230769;0,0714285714285714;0,037037037037037;0,0714285714285714;0,04;0,0344827586206897;0,111111111111111;0,0714285714285714;0,111111111111111;0,037037037037037;0,0714285714285714;0,0714285714285714;0,111111111111111;0,103448275862069;0,037037037037037;0,037037037037037;0,0344827586206897;0,0344827586206897
"BISE_19";0,037037037037037;0,111111111111111;0,037037037037037;0,0769230769230769;0,0769230769230769;0,037037037037037;0,111111111111111;0,0769230769230769;0,037037037037037;0,037037037037037;0,111111111111111;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,037037037037037;0,0769230769230769;0,0769230769230769;0,037037037037037;0;0;0,0769230769230769;0,0769230769230769;0,04;0,04;0,111111111111111;0,04;0,0714285714285714;0,04;0;0;0,0769230769230769;0,04;0,0769230769230769;0,111111111111111;0,04;0,142857142857143;0,04;0;0,111111111111111;0,111111111111111;0,0769230769230769;0,0714285714285714;0,111111111111111;0,111111111111111;0,0769230769230769;0,0714285714285714;0,04;0,0344827586206897;0,0714285714285714;0,0714285714285714;0,111111111111111;0,0344827586206897;0,0769230769230769;0,103448275862069;0,0769230769230769;0,0769230769230769;0,0344827586206897;0,0769230769230769;0,111111111111111;0,0666666666666667;0,0714285714285714;0,037037037037037;0,0344827586206897;0,0344827586206897
"BISE_20";0,04;0,04;0,04;0;0;0,04;0,04;0;0,04;0,04;0,04;0;0;0;0,04;0;0;0,04;0,0769230769230769;0;0,0769230769230769;0,04;0,04;0,04;0,0769230769230769;0,037037037037037;0,0769230769230769;0,0769230769230769;0,037037037037037;0;0,0769230769230769;0;0,111111111111111;0,111111111111111;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,04;0,04;0,111111111111111;0,037037037037037;0,037037037037037;0;0,111111111111111;0,111111111111111;0,111111111111111;0,0769230769230769;0,0344827586206897;0,04;0,111111111111111;0,111111111111111;0,037037037037037;0,037037037037037;0,111111111111111;0,037037037037037;0,111111111111111;0,0344827586206897;0,037037037037037;0,04;0,0344827586206897;0,037037037037037;0,0714285714285714;0,0714285714285714;0,0769230769230769
"BISE_21";0,037037037037037;0,111111111111111;0,037037037037037;0,0769230769230769;0,0769230769230769;0,037037037037037;0,111111111111111;0,0769230769230769;0,037037037037037;0,037037037037037;0,037037037037037;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,037037037037037;0,0769230769230769;0,0769230769230769;0,037037037037037;0,0714285714285714;0,0769230769230769;0;0,0769230769230769;0,04;0,111111111111111;0,111111111111111;0,0769230769230769;0,037037037037037;0,04;0,037037037037037;0,04;0,111111111111111;0,037037037037037;0,037037037037037;0,111111111111111;0,111111111111111;0,111111111111111;0;0,0769230769230769;0,0769230769230769;0,04;0,04;0;0,04;0,0769230769230769;0,037037037037037;0,142857142857143;0,0769230769230769;0,0714285714285714;0,0769230769230769;0,0769230769230769;0,04;0,0714285714285714;0;0,0714285714285714;0;0,037037037037037;0;0,111111111111111;0,0769230769230769;0,0666666666666667;0;0,0714285714285714;0,0344827586206897;0,037037037037037
"BISE_22";0,0769230769230769;0;0,0769230769230769;0,04;0,04;0,0769230769230769;0;0,04;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,04;0,04;0,04;0,0769230769230769;0,04;0,04;0,0769230769230769;0,111111111111111;0,04;0,111111111111111;0;0;0,111111111111111;0;0,0769230769230769;0,0769230769230769;0,04;0,0714285714285714;0;0,111111111111111;0,04;0,0714285714285714;0,037037037037037;0,0714285714285714;0,037037037037037;0,0769230769230769;0,111111111111111;0,04;0,04;0,111111111111111;0,04;0;0,111111111111111;0,0714285714285714;0,0714285714285714;0,111111111111111;0,0344827586206897;0,04;0,0714285714285714;0,04;0,037037037037037;0,0344827586206897;0,0714285714285714;0,0344827586206897;0,0714285714285714;0;0,0714285714285714;0,04;0,111111111111111;0,0714285714285714;0,037037037037037;0,0344827586206897;0,0769230769230769
"BISE_23";0,0769230769230769;0;0,0769230769230769;0,04;0,04;0,0769230769230769;0;0,04;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,04;0,04;0,04;0,0769230769230769;0,04;0,04;0,0769230769230769;0,111111111111111;0,04;0,111111111111111;0;0;0,04;0,04;0,037037037037037;0,111111111111111;0,0769230769230769;0,0714285714285714;0;0,04;0,037037037037037;0,0714285714285714;0,111111111111111;0,0714285714285714;0,0714285714285714;0,0769230769230769;0,111111111111111;0,0769230769230769;0,04;0,111111111111111;0,0769230769230769;0,04;0,0769230769230769;0,0714285714285714;0,103448275862069;0,111111111111111;0,0714285714285714;0,0769230769230769;0,0714285714285714;0,04;0;0,0344827586206897;0,0344827586206897;0,0344827586206897;0,0714285714285714;0,0714285714285714;0,0714285714285714;0,0769230769230769;0,0714285714285714;0,0344827586206897;0,0714285714285714;0,0714285714285714;0,111111111111111
"BISE_24";0,037037037037037;0,111111111111111;0,037037037037037;0,0769230769230769;0,0769230769230769;0,037037037037037;0,111111111111111;0,0769230769230769;0,037037037037037;0,037037037037037;0,037037037037037;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,037037037037037;0,0769230769230769;0,0769230769230769;0,037037037037037;0,0714285714285714;0,0769230769230769;0;0,111111111111111;0,111111111111111;0;0;0,04;0,037037037037037;0,111111111111111;0;0,04;0,0769230769230769;0,0769230769230769;0,111111111111111;0,0769230769230769;0,037037037037037;0,0714285714285714;0,0769230769230769;0,0769230769230769;0,0769230769230769;0;0,111111111111111;0;0,0769230769230769;0,111111111111111;0,111111111111111;0,103448275862069;0,0769230769230769;0,0344827586206897;0,037037037037037;0,0714285714285714;0;0,0714285714285714;0,0714285714285714;0,0344827586206897;0,0714285714285714;0,111111111111111;0,0344827586206897;0,0769230769230769;0,0769230769230769;0,111111111111111;0,0344827586206897;0,037037037037037;0,0344827586206897;0,0714285714285714
"BISE_25";0,04;0,04;0,04;0;0;0,04;0,04;0;0,04;0,04;0,04;0;0;0;0,04;0;0;0,04;0,0769230769230769;0;0,0769230769230769;0,04;0,04;0,0769230769230769;0;0,111111111111111;0,0714285714285714;0,04;0,037037037037037;0,0769230769230769;0,04;0,0769230769230769;0,0714285714285714;0;0,04;0,0769230769230769;0,0769230769230769;0;0,111111111111111;0,0769230769230769;0,037037037037037;0,0769230769230769;0,111111111111111;0;0,0714285714285714;0,142857142857143;0,111111111111111;0,0769230769230769;0,0714285714285714;0;0,0769230769230769;0,0344827586206897;0,0714285714285714;0,111111111111111;0,0769230769230769;0,0714285714285714;0,0714285714285714;0,037037037037037;0,111111111111111;0,142857142857143;0;0,0714285714285714;0;0,0344827586206897
"BISE_26";0,111111111111111;0,037037037037037;0,111111111111111;0,0769230769230769;0,0769230769230769;0,111111111111111;0,037037037037037;0,0769230769230769;0,111111111111111;0,111111111111111;0,037037037037037;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,111111111111111;0,0769230769230769;0,0769230769230769;0,111111111111111;0,142857142857143;0,0769230769230769;0,0714285714285714;0,037037037037037;0,037037037037037;0,0714285714285714;0,0769230769230769;0;0,0714285714285714;0,111111111111111;0;0;0,0769230769230769;0,037037037037037;0,037037037037037;0,0714285714285714;0,04;0,111111111111111;0,0769230769230769;0,04;0,111111111111111;0,111111111111111;0,111111111111111;0,04;0,111111111111111;0,04;0,037037037037037;0,103448275862069;0,0769230769230769;0,037037037037037;0,0714285714285714;0,0714285714285714;0,111111111111111;0,0344827586206897;0;0,0714285714285714;0,0714285714285714;0,037037037037037;0,0344827586206897;0,0769230769230769;0,111111111111111;0,103448275862069;0,0344827586206897;0,04;0,0344827586206897;0,0344827586206897
